nom_voltage,nom_temperature,nom_process,related_pin A4,related_pin S0,related_pin S1,timing_sense positive_unate,timing_sense non_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,0.1,0.0414907
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,0.1,0.0630039
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,0.25, 0.0213291
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,0.25,0.0219837
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,0.25,0.0233304
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,0.25,0.0259697
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,0.25,0.0314238
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,0.25,0.0423834
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,0.25,0.0635742
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,0.5, 0.0272209
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,0.5,0.0279053
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,0.5,0.0291312
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,0.5,0.0314167
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,0.5,0.0363042
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,0.5,0.0463125
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,0.5,0.0664666
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,1, 0.0397073
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,1,0.0403104
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,1,0.0413115
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,1,0.0433379
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,1,0.0477787
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,1,0.0570693
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,1,0.0762643
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,2, 0.0636769
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,2,0.0642387
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,2,0.0652481
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,2,0.0672353
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,2,0.0711245
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,2,0.0799703
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,2,0.0982592
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,4, 0.1096483
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,4,0.1101344
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,4,0.1109806
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,4,0.1127844
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,4,0.1163643
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,4,0.1252187
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,4,0.1436482
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.016,8, 0.2003125
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.032,8,0.2007226
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.064,8,0.2014436
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.128,8,0.2030803
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.256,8,0.2070603
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,0.512,8,0.2152711
0.850000,125.000000,1.01,0,1,0,0,1,0,1,0,0,1.024,8,0.2331366
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.016,0.1,0.0226139
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.032,0.1,0.0234833
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.064,0.1,0.0248826
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.128,0.1,0.0275520
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.256,0.1,0.0325750
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.512,0.1,0.0419638
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,1.024,0.1,0.0593578
0.850000,125.000000,1.01,0,1,0,0,1,0,0,1,0,0.016,0.25, 0.0272159
