nom_voltage,nom_temperature,nom_process,related_pin D,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,8,0.0992200
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,8,0.1006629
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,8,0.1033492
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,8,0.1082526
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,8,0.1169327
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,8,0.1325658
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,16, 0.1283041
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,16,0.1296379
0.850000,125.000000,1.01,1,1,0,0,1,0,0.064,16,0.1310902
0.850000,125.000000,1.01,1,1,0,0,1,0,0.128,16,0.1337249
0.850000,125.000000,1.01,1,1,0,0,1,0,0.256,16,0.1389946
0.850000,125.000000,1.01,1,1,0,0,1,0,0.512,16,0.1481618
0.850000,125.000000,1.01,1,1,0,0,1,0,1.024,16,0.1639927
0.850000,125.000000,1.01,1,1,0,0,1,0,0.016,32, 0.1802496
0.850000,125.000000,1.01,1,1,0,0,1,0,0.032,32,0.1817080
