nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,0.1,0.0151887
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,0.1,0.0205300
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,0.1,0.0320693
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,0.1,0.0563634
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,0.25, 0.0129520
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,0.25,0.0135758
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,0.25,0.0146807
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,0.25,0.0169532
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,0.25,0.0219163
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,0.25,0.0328766
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,0.25,0.0568823
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,0.5, 0.0177881
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,0.5,0.0183830
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,0.5,0.0194583
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,0.5,0.0217024
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,0.5,0.0262825
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,0.5,0.0362474
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,0.5,0.0586277
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,1, 0.0272583
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,1,0.0278497
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,1,0.0289145
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,1,0.0309943
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,1,0.0353130
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,1,0.0445921
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,1,0.0653818
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,2, 0.0438006
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,2,0.0443000
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,2,0.0451853
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,2,0.0475355
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,2,0.0522430
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,2,0.0614828
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,2,0.0807779
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,4, 0.0747954
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,4,0.0751483
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,4,0.0759122
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,4,0.0778535
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,4,0.0825174
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,4,0.0920467
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,4,0.1121836
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.016,8, 0.1356047
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.032,8,0.1359859
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.064,8,0.1365638
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.128,8,0.1381174
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.256,8,0.1411527
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,0.512,8,0.1505166
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1,1.024,8,0.1725391
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,0.1,0.0239440
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,0.1,0.0246497
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,0.1,0.0257847
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,0.1,0.0279131
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,0.1,0.0318174
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,0.1,0.0389321
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,0.1,0.0523101
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,0.25, 0.0271756
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,0.25,0.0279211
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,0.25,0.0291035
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,0.25,0.0313083
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,0.25,0.0352393
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,0.25,0.0423413
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,0.25,0.0555794
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,0.5, 0.0310186
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,0.5,0.0318393
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,0.5,0.0332228
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,0.5,0.0355884
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,0.5,0.0398428
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,0.5,0.0474693
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,0.5,0.0613036
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,1, 0.0356726
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,1,0.0366037
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,1,0.0380909
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,1,0.0408864
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,1,0.0461409
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,1,0.0547354
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,1,0.0698459
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,2, 0.0409675
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,2,0.0420235
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,2,0.0437374
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,2,0.0469881
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,2,0.0529897
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,2,0.0635134
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,2,0.0817589
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,4, 0.0475104
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,4,0.0492186
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,4,0.0511235
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,4,0.0548018
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,4,0.0617917
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,4,0.0746202
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,4,0.0967143
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,8, 0.0585323
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,8,0.0597979
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,8,0.0618967
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,8,0.0660486
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,8,0.0741149
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,8,0.0899540
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,8,0.1165895
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,0.1,0.0125160
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,0.1,0.0131513
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,0.1,0.0141659
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,0.1,0.0163161
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,0.1,0.0206498
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,0.1,0.0300277
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,0.1,0.0497593
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,0.25, 0.0155999
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,0.25,0.0161389
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,0.25,0.0170484
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,0.25,0.0189452
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,0.25,0.0227317
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,0.25,0.0313720
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,0.25,0.0504903
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,0.5, 0.0217781
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,0.5,0.0224042
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,0.5,0.0232111
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,0.5,0.0249691
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,0.5,0.0284993
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,0.5,0.0365585
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,0.5,0.0539655
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,1, 0.0339242
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,1,0.0344351
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,1,0.0353232
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,1,0.0368892
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,1,0.0408484
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,1,0.0482011
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,1,0.0651592
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,2, 0.0577809
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,2,0.0582263
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,2,0.0588736
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,2,0.0606055
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,2,0.0645924
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,2,0.0724711
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,2,0.0890593
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,4, 0.1054642
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,4,0.1057765
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,4,0.1065961
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,4,0.1082602
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,4,0.1117639
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,4,0.1198670
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,4,0.1371143
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,8, 0.2000979
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,8,0.2005023
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,8,0.2014899
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,8,0.2035118
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,8,0.2076691
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,8,0.2156950
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,8,0.2318814
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.016,0.1,0.0204176
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.032,0.1,0.0212006
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.064,0.1,0.0224606
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.128,0.1,0.0247847
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.256,0.1,0.0290772
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.512,0.1,0.0370676
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,1.024,0.1,0.0526962
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.016,0.25, 0.0229666
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.032,0.25,0.0238206
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.064,0.25,0.0251903
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.128,0.25,0.0277717
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.256,0.25,0.0322195
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.512,0.25,0.0402543
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,1.024,0.25,0.0556407
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.016,0.5, 0.0258513
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.032,0.5,0.0267891
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.064,0.5,0.0282928
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.128,0.5,0.0311098
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.256,0.5,0.0361011
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.512,0.5,0.0448256
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,1.024,0.5,0.0604912
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.016,1, 0.0283473
0.850000,125.000000,1.01,0,1,1,1,0,0,1,0,0.032,1,0.0293981
