nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,timing_type combinational,timing_sense negative_unate,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,0.25,0.0255488
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,0.25,0.0301742
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,0.25,0.0394598
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,0.25,0.0589302
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,0.5, 0.0251763
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,0.5,0.0257533
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,0.5,0.0266416
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,0.5,0.0288378
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,0.5,0.0331475
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,0.5,0.0419474
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,0.5,0.0607777
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,1, 0.0327363
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,1,0.0332956
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,1,0.0342729
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,1,0.0361043
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,1,0.0403398
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,1,0.0484011
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,1,0.0666453
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,2, 0.0474944
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,2,0.0480706
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,2,0.0490488
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,2,0.0509659
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,2,0.0543326
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,2,0.0624300
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,2,0.0795196
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,4, 0.0750892
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,4,0.0756084
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,4,0.0764850
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,4,0.0782644
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,4,0.0821373
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,4,0.0905854
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,4,0.1066998
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.016,8, 0.1257170
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.032,8,0.1262108
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.064,8,0.1269093
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.128,8,0.1288692
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.256,8,0.1334209
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,0.512,8,0.1418640
0.850000,125.000000,1.01,0,1,1,0,1,0,1,0,0,1.024,8,0.1598403
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.016,0.1,0.0421099
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.032,0.1,0.0431289
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.064,0.1,0.0447721
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.128,0.1,0.0478168
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.256,0.1,0.0533543
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.512,0.1,0.0630782
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,1.024,0.1,0.0802090
0.850000,125.000000,1.01,0,1,1,0,1,0,0,1,0,0.016,0.25, 0.0477228
