nom_voltage,nom_temperature,nom_process,related_pin A,timing_type combinational,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,16,0.0129833
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,16,0.0238451
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,16,0.0454662
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,16,0.0841122
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.016,32, -0.0001195
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.032,32,0.0020653
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.064,32,0.0046007
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.128,32,0.0097634
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.256,32,0.0205763
0.850000,125.000000,1.01,1,1,1,0,0,1,0,0.512,32,0.0418134
0.850000,125.000000,1.01,1,1,1,0,0,1,0,1.024,32,0.0854485
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,0.1,0.0095464
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,0.1,0.0110735
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,0.1,0.0127644
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,0.1,0.0158920
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,0.1,0.0227487
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,0.1,0.0381023
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,0.1,0.0711462
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,1, 0.0158698
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,1,0.0173976
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,1,0.0190652
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,1,0.0224374
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,1,0.0289541
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,1,0.0423042
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,1,0.0726644
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,2, 0.0292829
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,2,0.0304865
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,2,0.0319873
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,2,0.0353972
