nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,timing_type combinational,timing_sense positive_unate,timing_sense negative_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.1,0.0206705
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.1,0.0217680
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.1,0.0240259
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.1,0.0288040
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.1,0.0388168
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.1,0.0607545
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.25, 0.0199039
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.25,0.0205974
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.25,0.0217012
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.25,0.0240346
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.25,0.0287934
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.25,0.0388214
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.25,0.0606947
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,0.5, 0.0200784
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,0.5,0.0207395
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,0.5,0.0219011
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,0.5,0.0240768
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,0.5,0.0288003
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,0.5,0.0389447
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,0.5,0.0607374
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,1, 0.0211894
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,1,0.0219370
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,1,0.0230597
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,1,0.0250799
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,1,0.0298272
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,1,0.0395445
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,1,0.0610815
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,2, 0.0242602
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,2,0.0249392
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,2,0.0261016
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,2,0.0282515
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,2,0.0325372
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,2,0.0418568
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,2,0.0624755
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,4, 0.0312737
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,4,0.0318780
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,4,0.0328740
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,4,0.0348573
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,4,0.0393143
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,4,0.0479439
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,4,0.0668393
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.016,8, 0.0450041
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.032,8,0.0468358
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.064,8,0.0477459
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.128,8,0.0495104
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.256,8,0.0531953
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,0.512,8,0.0613048
0.850000,125.000000,1.01,1,0,0,1,1,0,0,1,0,0,1.024,8,0.0785654
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.1,0.0918099
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.1,0.0928894
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.1,0.0946232
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.1,0.0978761
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.256,0.1,0.1037031
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.512,0.1,0.1138003
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,1.024,0.1,0.1311944
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.016,0.25, 0.0960961
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.032,0.25,0.0971786
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.064,0.25,0.0989047
0.850000,125.000000,1.01,1,0,0,1,1,0,0,0,1,0,0.128,0.25,0.1022557
