nom_voltage,nom_temperature,nom_process,related_pin SAVE,related_pin CLK,timing_type removal_falling,timing_type removal_rising,fall_constraint,rise_constraint,output_load,input_slope,value
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,0.5120000,0.3608016
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,0.5120000,0.3046875
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,0.5120000,0.2270571
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0160000,1.0240000, 0.6338221
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0320000,1.0240000,0.6262988
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.0640000,1.0240000,0.6154636
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.1280000,1.0240000,0.5891763
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.2560000,1.0240000,0.5526208
0.750000,-40.000000,0.99,0,1,0,1,0,1,0.5120000,1.0240000,0.4872464
0.750000,-40.000000,0.99,0,1,0,1,0,1,1.0240000,1.0240000,0.4210299
