nom_voltage,nom_temperature,nom_process,related_pin INOUT1,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,9.70418,0.2698386
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,17.7042, 0.5109909
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,17.7042,0.5111720
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,17.7042,0.5115021
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,17.7042,0.5129299
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,17.7042,0.5143389
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,17.7042,0.5175715
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,17.7042,0.5235818
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.016,33.7042, 1.0217555
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.032,33.7042,1.0228255
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.064,33.7042,1.0233528
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.128,33.7042,1.0236849
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.256,33.7042,1.0246225
0.850000,125.000000,1.01,1,1,1,0,0,0,1,0.512,33.7042,1.0272784
0.850000,125.000000,1.01,1,1,1,0,0,0,1,1.024,33.7042,1.0338640
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,1.80418,0.0024771
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,1.80418,0.0037751
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,1.80418,0.0051087
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,1.80418,0.0075451
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,1.80418,0.0113420
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,1.80418,0.0169490
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,1.80418,0.0265293
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,2.70418, 0.0023629
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,2.70418,0.0035656
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.064,2.70418,0.0049647
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.128,2.70418,0.0076224
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.256,2.70418,0.0124730
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.512,2.70418,0.0201166
0.850000,125.000000,1.01,1,0,1,1,0,0,0,1.024,2.70418,0.0314189
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.016,3.70418, 0.0021752
0.850000,125.000000,1.01,1,0,1,1,0,0,0,0.032,3.70418,0.0032971
