nom_voltage,nom_temperature,nom_process,related_pin A1,related_pin A2,related_pin A3,related_pin A4,related_pin A5,related_pin A6,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.128,16,0.0770552
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.256,16,0.0843475
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,0.512,16,0.0983700
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,1,0,1.024,16,0.1247398
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,0.1,0.0172560
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,0.1,0.0181286
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,0.1,0.0192751
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,0.1,0.0218162
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,0.1,0.0272143
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,0.1,0.0381633
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,0.1,0.0612273
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,0.5, 0.0177308
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,0.5,0.0185888
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,0.5,0.0197475
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,0.5,0.0222093
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,0.5,0.0275415
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,0.5,0.0384404
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,0.5,0.0613637
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,1, 0.0223741
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,1,0.0230220
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.064,1,0.0238978
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.128,1,0.0262239
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.256,1,0.0308788
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.512,1,0.0410645
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,1.024,1,0.0629029
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.016,2, 0.0327325
0.850000,125.000000,1.01,1,0,0,0,0,0,1,1,0,0,0,1,0.032,2,0.0335944
