nom_voltage,nom_temperature,nom_process,related_pin D,related_pin ISO,timing_type combinational,timing_sense positive_unate,cell_rise,rise_transition,cell_fall,fall_transition,output_load,input_slope,value
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,32,0.1220770
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.016,64, 0.0923713
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.032,64,0.0940240
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.064,64,0.0957536
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.128,64,0.0991677
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.256,64,0.1057743
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,0.512,64,0.1181323
0.850000,125.000000,1.01,0,1,1,1,1,0,0,0,1.024,64,0.1407042
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,0.1,0.0253882
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.032,0.1,0.0260605
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.064,0.1,0.0269140
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.128,0.1,0.0285615
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.256,0.1,0.0323875
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.512,0.1,0.0403394
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,1.024,0.1,0.0576421
0.850000,125.000000,1.01,0,1,1,1,0,1,0,0,0.016,2, 0.0261214
